call_id,caller,receiver,timestamp,duration,cell_tower
C0001,9876500003,9876500005,2026-05-01T10:17,689,T003
C0002,9876500007,9876500008,2026-05-01T23:00,135,T005
C0003,9876500002,9876500003,2026-05-03T21:17,667,T004
C0004,9876500007,9876500008,2026-05-03T14:24,454,T003
C0005,9876500001,9876500004,2026-05-03T09:57,665,T002
C0006,9876500005,9876500007,2026-05-04T08:12,323,T003
C0007,9876500007,9876500008,2026-05-04T09:55,505,T006
C0008,9876500001,9876500004,2026-05-04T21:05,565,T004
C0009,9876500001,9876500002,2026-05-05T16:52,256,T003
C0010,9876500003,9876500005,2026-05-05T09:31,599,T004
C0011,9876500005,9876500007,2026-05-05T14:43,398,T003
C0012,9876500007,9876500008,2026-05-05T18:14,141,T004
C0013,9876500003,9876500005,2026-05-06T22:59,589,T005
C0014,9876500001,9876500004,2026-05-06T19:09,150,T006
C0015,9876500005,9876500007,2026-05-07T09:58,451,T004
C0016,9876500001,9876500004,2026-05-07T13:35,518,T005
C0017,9876500002,9876500003,2026-05-08T23:42,599,T002
C0018,9876500005,9876500007,2026-05-08T15:47,260,T004
C0019,9876500007,9876500008,2026-05-08T09:55,140,T002
C0020,9876500001,9876500004,2026-05-08T14:04,317,T001
C0021,9876500002,9876500003,2026-05-09T12:06,183,T004
C0022,9876500003,9876500005,2026-05-09T23:50,378,T002
C0023,9876500007,9876500008,2026-05-09T11:12,476,T003
C0024,9876500001,9876500002,2026-05-10T10:15,198,T003
C0025,9876500005,9876500007,2026-05-10T23:43,177,T005
C0026,9876500001,9876500004,2026-05-10T14:09,166,T004
C0027,9876500005,9876500007,2026-05-11T15:52,569,T001
C0028,9876500007,9876500008,2026-05-11T15:06,380,T001
C0029,9876500001,9876500004,2026-05-11T21:46,365,T004
C0030,9876500001,9876500002,2026-05-12T18:01,579,T003
C0031,9876500002,9876500003,2026-05-12T14:09,429,T001
C0032,9876500003,9876500005,2026-05-12T08:34,559,T004
C0033,9876500005,9876500007,2026-05-12T13:59,431,T001
